Colectivo,Fecha de envío,Id,Indique si es hombre o mujer,Indique su franja de edad,Preguntas,Preguntas (grupo),respuestas,respuestas (grupo),respuestas (grupo) 1,count_id,respuestas_count,Value
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,"El personal muestra su disposición a ayudar, sin eludir su responsabilidad",SERVICIOS_GRADO DE ACUERDO,7,Positivo,De acuerdo,1,1,7
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,El servicio que he recibido de esta área/servicio/unidad ha resultado correcto y fiable,SERVICIOS_GRADO DE ACUERDO,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,El trato es cortés y amable siempre,SERVICIOS_GRADO DE ACUERDO,8,Positivo,De acuerdo,1,1,8
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,En general los edificios y espacios de la Universidad están limpios y resultan confortables para la utilidad que tienen,OTROS,8,Positivo,De acuerdo,1,1,8
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,"Frecuentemente, más de 5 veces.","Frecuentemente, más de 5 veces.","Frecuentemente, más de 5 veces.",1,1,
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,Es fácil acceder a los recursos de información que la Biblioteca ofrece,PERCEPCIÓN,8,Positivo,De acuerdo,1,1,8
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,Informa de manera clara y comprensible,SERVICIOS_GRADO DE ACUERDO,7,Positivo,De acuerdo,1,1,7
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,La colección que pone a disposición la Biblioteca cubre mis necesidades de información,PERCEPCIÓN,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,La información disponible en la página web del Área/Servicio/Unidad es clara y útil para mis necesidades,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,La opinión de otros usuarios sobre esta área/Servicio/Unidad es excelente,EXPECTATIVAS,8,Positivo,De acuerdo,1,1,8
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,Las herramientas para la búsqueda y recuperación de la información son fáciles de usar,PERCEPCIÓN,8,Positivo,De acuerdo,1,1,8
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,"Las instalaciones son fácilmente accesibles, y el mobiliario y equipamiento adecuada para mi comodidad y la del personal",SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
