Publication Year,1 Clinical & Life Sciences,2 Chemistry,"3 Agriculture, Environment & Ecology","4 Electrical Engineering, Electronics & Computer Science",5 Physics,6 Social Sciences,7 Engineering & Materials Science,8 Earth Sciences,9 Mathematics,10 Arts & Humanities
2010,126,36,43,15,6,65,1,14,9,6
2011,153,35,46,21,7,74,,10,13,6
2012,164,40,51,19,6,85,2,13,7,7
2013,165,42,69,22,12,91,2,18,11,14
2014,187,35,65,26,8,102,1,13,5,16
2015,213,44,75,24,4,102,1,14,7,15
2016,205,34,102,34,8,104,,21,8,15
2017,201,42,78,27,14,129,,15,6,25
2018,232,52,94,29,14,117,,19,10,15
2019,238,41,93,39,14,143,1,26,3,18
2020,260,45,109,39,22,165,2,29,8,21
2021,301,46,126,28,28,196,1,25,,14
