nuts_id,country_iso,country,name,ghg_2023_kt,ghg_2013_kt,population_2023,ghg_per_capita_t,pct_change_2013_2023
AT11,AUT,Austria,Burgenland,2249.89,2477.34,301250,7.47,-9.2
AT12,AUT,Austria,Niederösterreich,18347.89,23480.18,1718373,10.68,-21.9
AT13,AUT,Austria,Wien,4353.41,4662.15,1982097,2.2,-6.6
AT21,AUT,Austria,Kärnten,5328.54,5865.87,568984,9.37,-9.2
AT22,AUT,Austria,Steiermark,13714.36,15973.0,1265198,10.84,-14.1
AT31,AUT,Austria,Oberösterreich,18808.35,20991.55,1522825,12.35,-10.4
AT32,AUT,Austria,Salzburg,3893.34,4284.14,568346,6.85,-9.1
AT33,AUT,Austria,Tirol,4247.9,4723.81,771304,5.51,-10.1
AT34,AUT,Austria,Vorarlberg,1807.14,2033.92,406395,4.45,-11.2
BE10,BEL,Belgium,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2876.24,3715.56,1253178,2.3,-22.6
BE21,BEL,Belgium,Prov. Antwerpen,15786.68,17956.42,1915921,8.24,-12.1
BE22,BEL,Belgium,Prov. Limburg (BE),5966.51,9237.91,898619,6.64,-35.4
BE23,BEL,Belgium,Prov. Oost-Vlaanderen,17613.97,21016.82,1563346,11.27,-16.2
BE24,BEL,Belgium,Prov. Vlaams-Brabant,7762.86,9175.39,1188079,6.53,-15.4
BE25,BEL,Belgium,Prov. West-Vlaanderen,10104.88,11895.99,1222004,8.27,-15.1
BE31,BEL,Belgium,Prov. Brabant wallon,2704.69,3127.42,413959,6.53,-13.5
BE32,BEL,Belgium,Prov. Hainaut,22464.28,26172.97,1361026,16.51,-14.2
BE33,BEL,Belgium,Prov. Liège,11089.21,14508.93,1122360,9.88,-23.6
BE34,BEL,Belgium,Prov. Luxembourg (BE),3744.06,4215.03,297654,12.58,-11.2
BE35,BEL,Belgium,Prov. Namur,5868.26,7314.52,506650,11.58,-19.8
BG31,BGR,Bulgaria,Severozapaden,5412.45,5061.88,671502,8.06,6.9
BG32,BGR,Bulgaria,Severen tsentralen,4850.42,4707.81,686334,7.07,3.0
BG33,BGR,Bulgaria,Severoiztochen,8406.73,10951.9,823884,10.2,-23.2
BG34,BGR,Bulgaria,Yugoiztochen,18522.68,20548.16,948410,19.53,-9.9
BG41,BGR,Bulgaria,Yugozapaden,9943.56,10060.32,2016554,4.93,-1.2
BG42,BGR,Bulgaria,Yuzhen tsentralen,6210.33,5981.28,1301026,4.77,3.8
CY00,CYP,Cyprus,Kýpros,10313.93,7891.64,949084,10.87,30.7
CZ01,CZE,Czechia,Praha,4906.63,5383.52,1357326,3.61,-8.9
CZ02,CZE,Czechia,Střední Čechy,14662.54,18726.32,1439391,10.19,-21.7
CZ03,CZE,Czechia,Jihozápad,11567.32,12424.07,1257691,9.2,-6.9
CZ04,CZE,Czechia,Severozápad,31673.45,37729.9,1105932,28.64,-16.1
CZ05,CZE,Czechia,Severovýchod,16800.82,18995.65,1533205,10.96,-11.6
CZ06,CZE,Czechia,Jihovýchod,13651.95,14430.4,1731977,7.88,-5.4
CZ07,CZE,Czechia,Střední Morava,8155.87,8558.17,1212333,6.73,-4.7
CZ08,CZE,Czechia,Moravskoslezsko,12843.36,17625.18,1189674,10.8,-27.1
DE11,DEU,Germany,Stuttgart,23939.89,33274.16,4142738,5.78,-28.1
DE12,DEU,Germany,Karlsruhe,26732.92,30280.31,2832121,9.44,-11.7
DE13,DEU,Germany,Freiburg,18271.85,19706.47,2304974,7.93,-7.3
DE14,DEU,Germany,Tübingen,12813.87,14263.66,1887888,6.79,-10.2
DE21,DEU,Germany,Oberbayern,29483.06,35072.3,4705040,6.27,-15.9
DE22,DEU,Germany,Niederbayern,9087.34,10257.65,1244102,7.3,-11.4
DE23,DEU,Germany,Oberpfalz,9356.7,10348.27,1107750,8.45,-9.6
DE24,DEU,Germany,Oberfranken,6545.89,7356.0,1051868,6.22,-11.0
DE25,DEU,Germany,Mittelfranken,9167.02,10682.79,1782419,5.14,-14.2
DE26,DEU,Germany,Unterfranken,9234.31,10499.52,1310561,7.05,-12.1
DE27,DEU,Germany,Schwaben,10872.78,12129.75,1903481,5.71,-10.4
DE30,DEU,Germany,Berlin,11812.37,17065.44,3632853,3.25,-30.8
DE40,DEU,Germany,Brandenburg,41527.11,57604.38,2545159,16.32,-27.9
DE50,DEU,Germany,Bremen,5551.26,10842.06,695758,7.98,-48.8
DE60,DEU,Germany,Hamburg,6528.67,8266.85,1832675,3.56,-21.0
DE71,DEU,Germany,Darmstadt,19841.93,25706.42,4001146,4.96,-22.8
DE72,DEU,Germany,Gießen,6686.89,7702.18,1036748,6.45,-13.2
DE73,DEU,Germany,Kassel,8482.54,9795.94,1199039,7.07,-13.4
DE80,DEU,Germany,Mecklenburg-Vorpommern,18311.39,22611.71,1576049,11.62,-19.0
DE91,DEU,Germany,Braunschweig,15476.26,23267.42,1589602,9.74,-33.5
DE92,DEU,Germany,Hannover,13636.47,16677.39,2117034,6.44,-18.2
DE93,DEU,Germany,Lüneburg,12642.17,14376.43,1716631,7.36,-12.1
DE94,DEU,Germany,Weser-Ems,28143.45,35304.77,2559680,10.99,-20.3
DEA1,DEU,Germany,Düsseldorf,46247.14,91704.07,5222540,8.86,-49.6
DEA2,DEU,Germany,Köln,39855.65,62167.41,4461422,8.93,-35.9
DEA3,DEU,Germany,Münster,26285.16,44620.53,2640307,9.96,-41.1
DEA4,DEU,Germany,Detmold,14212.31,20473.39,2070052,6.87,-30.6
DEA5,DEU,Germany,Arnsberg,29743.34,52854.71,3570099,8.33,-43.7
DEB1,DEU,Germany,Koblenz,9265.6,10553.76,1522385,6.09,-12.2
DEB2,DEU,Germany,Trier,4098.44,4553.11,524876,7.81,-10.0
DEB3,DEU,Germany,Rheinhessen-Pfalz,18117.11,22851.71,2061294,8.79,-20.7
DEC0,DEU,Germany,Saarland,14319.89,23666.89,1011891,14.15,-39.5
DED2,DEU,Germany,Dresden,17779.93,26010.71,1588724,11.19,-31.6
DED4,DEU,Germany,Chemnitz,12617.01,15773.87,1397272,9.03,-20.0
DED5,DEU,Germany,Leipzig,12380.33,18103.14,1063971,11.64,-31.6
DEE0,DEU,Germany,Sachsen-Anhalt,38623.98,49631.34,2150239,17.96,-22.2
DEF0,DEU,Germany,Schleswig-Holstein,25071.07,33172.74,2939283,8.53,-24.4
DEG0,DEU,Germany,Thüringen,17215.46,19726.51,2118830,8.12,-12.7
DK01,DNK,Denmark,Hovedstaden,4485.68,7964.6,1891871,2.37,-43.7
DK02,DNK,Denmark,Sjælland,6413.21,9963.66,849857,7.55,-35.6
DK03,DNK,Denmark,Syddanmark,11121.12,13124.19,1237413,8.99,-15.3
DK04,DNK,Denmark,Midtjylland,10540.34,13153.94,1358879,7.76,-19.9
DK05,DNK,Denmark,Nordjylland,8673.07,10141.92,594634,14.59,-14.5
ES11,ESP,Spain,Galicia,17014.06,22560.25,2699424,6.3,-24.6
ES12,ESP,Spain,Principado de Asturias,10412.49,19549.2,1006060,10.35,-46.7
ES13,ESP,Spain,Cantabria,3745.45,4349.59,588387,6.37,-13.9
ES21,ESP,Spain,País Vasco,13236.71,15485.4,2216302,5.97,-14.5
ES22,ESP,Spain,Comunidad Foral de Navarra,5770.69,6084.31,672155,8.59,-5.2
ES23,ESP,Spain,La Rioja,2204.19,2237.92,322282,6.84,-1.5
ES24,ESP,Spain,Aragón,14258.98,18074.7,1341289,10.63,-21.1
ES30,ESP,Spain,Comunidad de Madrid,14344.1,15980.48,6871903,2.09,-10.2
ES41,ESP,Spain,Castilla y León,27204.3,36696.92,2383703,11.41,-25.9
ES42,ESP,Spain,Castilla-La Mancha,22859.37,28180.88,2084086,10.97,-18.9
ES43,ESP,Spain,Extremadura,8180.08,8351.09,1054306,7.76,-2.0
